[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[   2.0 min] step     319 | games    3136 ( 26.1/s) | buffer    54436 | reuse 6.00 | policy 3.9025 value 0.8844 | 357.9 min left
[   3.0 min] step     735 | games    6458 ( 35.9/s) | buffer   125325 | reuse 6.01 | policy 3.7469 value 0.8333 | 356.9 min left
[   4.0 min] step    1163 | games   10236 ( 42.6/s) | buffer   198413 | reuse 6.00 | policy 3.6781 value 0.8141 | 355.9 min left
[   5.0 min] step    1559 | games   13778 ( 45.9/s) | buffer   266067 | reuse 6.00 | policy 3.5856 value 0.7969 | 354.9 min left
[   6.0 min] step    1964 | games   17235 ( 47.8/s) | buffer   335064 | reuse 6.00 | policy 3.4791 value 0.7774 | 353.9 min left
[   7.0 min] step    2392 | games   20948 ( 49.8/s) | buffer   408164 | reuse 6.00 | policy 3.3741 value 0.7586 | 352.9 min left
[   8.0 min] step    2736 | games   23638 ( 49.2/s) | buffer   466846 | reuse 6.00 | policy 3.2944 value 0.7437 | 351.9 min left
[   9.0 min] step    3134 | games   26530 ( 49.1/s) | buffer   534762 | reuse 6.00 | policy 2.6278 value 0.6115 | 350.9 min left
[  10.0 min] step    3536 | games   29399 ( 49.0/s) | buffer   603459 | reuse 6.00 | policy 2.5758 value 0.6012 | 349.9 min left
[  11.0 min] step    3926 | games   32157 ( 48.7/s) | buffer   669900 | reuse 6.00 | policy 2.5338 value 0.5940 | 348.9 min left
[  12.0 min] step    4318 | games   34905 ( 48.5/s) | buffer   736778 | reuse 6.00 | policy 2.3788 value 0.5651 | 347.9 min left
[  13.0 min] step    4722 | games   37643 ( 48.2/s) | buffer   805791 | reuse 6.00 | policy 2.3475 value 0.5610 | 346.9 min left
[  14.0 min] step    5134 | games   40438 ( 48.1/s) | buffer   876186 | reuse 6.00 | policy 2.3221 value 0.5563 | 345.9 min left
[  15.0 min] step    5530 | games   43187 ( 48.0/s) | buffer   943644 | reuse 6.00 | policy 2.2991 value 0.5524 | 344.9 min left
[  16.0 min] step    5929 | games   45877 ( 47.8/s) | buffer  1011909 | reuse 6.00 | policy 2.2776 value 0.5487 | 343.9 min left
[  17.0 min] step    6335 | games   48566 ( 47.6/s) | buffer  1081166 | reuse 6.00 | policy 2.1616 value 0.5276 | 342.9 min left
[  18.0 min] step    6717 | games   51051 ( 47.2/s) | buffer  1146335 | reuse 6.00 | policy 2.1496 value 0.5248 | 341.9 min left
[  19.0 min] step    7114 | games   53531 ( 46.9/s) | buffer  1214097 | reuse 6.00 | policy 2.1364 value 0.5228 | 340.9 min left
[  20.0 min] step    7525 | games   56046 ( 46.7/s) | buffer  1284119 | reuse 6.00 | policy 2.1258 value 0.5211 | 339.9 min left
[  21.0 min] step    7926 | games   58582 ( 46.5/s) | buffer  1352643 | reuse 6.00 | policy 2.1170 value 0.5196 | 338.9 min left
[  22.0 min] step    8315 | games   61048 ( 46.2/s) | buffer  1418959 | reuse 6.00 | policy 2.1087 value 0.5183 | 337.9 min left
[  23.0 min] step    8718 | games   63600 ( 46.1/s) | buffer  1487835 | reuse 6.00 | policy 2.1000 value 0.5166 | 336.9 min left
[  24.0 min] step    9110 | games   66121 ( 45.9/s) | buffer  1554665 | reuse 6.00 | policy 2.0927 value 0.5148 | 335.9 min left
[  25.0 min] step    9501 | games   68520 ( 45.7/s) | buffer  1621416 | reuse 6.00 | policy 2.0851 value 0.5128 | 334.9 min left
[  26.0 min] step    9895 | games   70974 ( 45.5/s) | buffer  1688596 | reuse 6.00 | policy 2.0777 value 0.5113 | 333.9 min left
[  27.0 min] step   10279 | games   73298 ( 45.2/s) | buffer  1754221 | reuse 6.00 | policy 2.0706 value 0.5095 | 332.9 min left
[  28.0 min] step   10690 | games   75739 ( 45.1/s) | buffer  1824351 | reuse 6.00 | policy 2.0636 value 0.5075 | 331.9 min left
[  29.0 min] step   11120 | games   78333 ( 45.0/s) | buffer  1897711 | reuse 6.00 | policy 2.0571 value 0.5059 | 330.9 min left
[  30.0 min] step   11504 | games   80792 ( 44.9/s) | buffer  1963194 | reuse 6.00 | policy 2.0515 value 0.5043 | 329.9 min left
[  31.0 min] step   11900 | games   83224 ( 44.7/s) | buffer  2030897 | reuse 6.00 | policy 2.0460 value 0.5027 | 328.9 min left
[  32.0 min] step   12322 | games   85709 ( 44.6/s) | buffer  2102921 | reuse 6.00 | policy 1.9605 value 0.4759 | 327.9 min left
[  33.0 min] step   12745 | games   88203 ( 44.5/s) | buffer  2175001 | reuse 6.00 | policy 1.9579 value 0.4743 | 326.9 min left
